codigo_gerencial;nome;grupo_macro;nivel;natureza;destino_dfc;descricao_dfc;observacao
DRE.01.02.03;Outras vendas de produtos;Receita;4;Sintetica;;;
DRE.01.02.03.01;Outras vendas de produtos;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.03;Prestacao de servicos;Receita;3;Sintetica;;;
DRE.01.03.01;Servicos recorrentes;Receita;4;Sintetica;;;
DRE.01.03.01.01;Servicos recorrentes;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.03.01.02;Servicos recorrentes mensais;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.03.02;Projetos, avulsos e consultorias;Receita;4;Sintetica;;;
DRE.01.03.02.01;Servicos avulsos e projetos;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.03.02.02;Consultorias e honorarios;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.03.03;Servicos digitais, eventos e treinamentos;Receita;4;Sintetica;;;
DRE.01.03.03.01;Servicos digitais;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.03.03.02;Receitas de eventos, cursos e treinamentos;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.03.04;Outras receitas de servicos;Receita;4;Sintetica;;;
DRE.01.03.04.01;Outras receitas de servicos;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.03.04.02;Servicos prestados a prazo;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.04;Receitas recorrentes e acessorias;Receita;3;Sintetica;;;
DRE.01.04.01;Receitas recorrentes;Receita;4;Sintetica;;;
DRE.01.04.01.01;Locacoes;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.04.01.02;Assinaturas e mensalidades;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.04.02;Licencas e partes relacionadas;Receita;4;Sintetica;;;
DRE.01.04.02.01;Royalties e licencas;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.04.02.02;Receitas intercompany;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.04.03;Outras receitas brutas;Receita;4;Sintetica;;;
DRE.01.04.03.01;Outras receitas brutas;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02;Deducoes da receita;Deducoes;2;Sintetica;;;
DRE.02.01;Impostos sobre receita;Deducoes;3;Sintetica;;;
DRE.02.01.01;Tributos federais sobre receita;Deducoes;4;Sintetica;;;
DRE.02.01.01.01;PIS sobre receita;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.01.01.02;COFINS sobre receita;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.01.01.03;IPI sobre vendas;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.01.01.04;Simples Nacional DAS;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.01.01.05;INSS sobre faturamento;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.01.01.06;Retencoes sobre servicos prestados;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.01.02;Tributos estaduais sobre receita;Deducoes;4;Sintetica;;;
DRE.02.01.02.01;ICMS sobre vendas;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.01.03;Tributos municipais sobre receita;Deducoes;4;Sintetica;;;
DRE.02.01.03.01;ISS sobre servicos;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.01.04;Outras deducoes tributarias;Deducoes;4;Sintetica;;;
DRE.02.01.04.01;Outros impostos sobre receita;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.02;Cancelamentos e descontos;Deducoes;3;Sintetica;;;
DRE.02.02.01;Devolucoes e cancelamentos;Deducoes;4;Sintetica;;;
DRE.02.02.01.01;Devolucoes de vendas;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.02.01.02;Vendas canceladas;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.02.02;Abatimentos e descontos;Deducoes;4;Sintetica;;;
DRE.02.02.02.01;Abatimentos comerciais;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.02.02.02;Descontos incondicionais;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.02.02.03;Bonificacoes e outras deducoes;Deducoes;4;Sintetica;;;
DRE.02.02.03.01;Bonificacoes como deducao;Deducoes;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.03;Receita liquida;Receita Liquida;2;Subtotal;;;
DRE.04;Custos diretos;Custos;2;Sintetica;;;
DRE.04.01;CMV - Comercio;Custos;3;Sintetica;;;
DRE.04.01.01;Estoques de mercadorias;Custos;4;Sintetica;;;
DRE.04.01.01.01;Estoque inicial de mercadorias;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.01.02;Estoque final de mercadorias;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.02;Compras, fretes e aquisicoes;Custos;4;Sintetica;;;
DRE.04.01.02.01;Compras de mercadorias;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.02.02;Fretes sobre compras;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.03;Tributos sobre compras;Custos;4;Sintetica;;;
DRE.04.01.03.01;Impostos nao recuperaveis nas compras;Custos;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.03.02;Impostos recuperaveis sobre compras;Custos;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.04;Ajustes, transferencias e perdas;Custos;4;Sintetica;;;
DRE.04.01.04.01;Bonificacoes recebidas redutoras;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.04.02;Transferencias entre filiais;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.04.03;Baixas e perdas de estoque;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.01.05;Outros custos de mercadorias;Custos;4;Sintetica;;;
DRE.04.01.05.01;Outros custos de mercadorias;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.02;CPV - Industria;Custos;3;Sintetica;;;
DRE.04.02.01;Materiais e insumos industriais;Custos;4;Sintetica;;;
DRE.04.02.01.01;Materia prima e insumos;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.02.02;Mao de obra industrial;Custos;4;Sintetica;;;
DRE.04.02.02.01;Mao de obra direta industrial;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.02.03;Custos indiretos de fabricacao;Custos;4;Sintetica;;;
DRE.04.02.03.01;Custos indiretos de fabricacao;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.02.03.02;Energia e utilidades da producao;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.02.03.03;Manutencao industrial;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.02.04;Terceirizacao industrial;Custos;4;Sintetica;;;
DRE.04.02.04.01;Terceirizacao industrial;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.02.05;Depreciacao fabril;Custos;4;Sintetica;;;
DRE.04.02.05.01;Depreciacao fabril;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.02.06;Perdas industriais;Custos;4;Sintetica;;;
DRE.04.02.06.01;Perdas industriais;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03;CSP - Servicos;Custos;3;Sintetica;;;
DRE.04.03.01;Mao de obra e encargos de servicos;Custos;4;Sintetica;;;
DRE.04.03.01.01;Mao de obra direta de servicos;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.01.02;Salarios da operacao;Custos;5;Analitica;DFC.OP.EMPREGADOS;Valores pagos a empregados;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.01.03;INSS da equipe operacional;Custos;5;Analitica;DFC.OP.EMPREGADOS;Valores pagos a empregados;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.01.04;FGTS da equipe operacional;Custos;5;Analitica;DFC.OP.EMPREGADOS;Valores pagos a empregados;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.01.05;Vale transporte operacional;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.01.06;Vale refeicao e alimentacao operacional;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.01.07;Assistencia medica operacional;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.02;Terceiros diretos de servicos;Custos;4;Sintetica;;;
DRE.04.03.02.01;Terceiros diretos de servicos;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.02.02;Servicos de terceiros operacionais;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.03;Materiais aplicados em servicos;Custos;4;Sintetica;;;
DRE.04.03.03.01;Materiais aplicados em servicos;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.03.02;Outros custos de servicos;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.04;Deslocamentos diretos de servicos;Custos;4;Sintetica;;;
DRE.04.03.04.01;Deslocamentos diretos de servicos;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.05;Ferramentas, licencas e software de entrega;Custos;4;Sintetica;;;
DRE.04.03.05.01;Ferramentas e licencas de entrega;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.05.02;Manutencao de software operacional;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.06;Seguros e protecoes operacionais;Custos;4;Sintetica;;;
DRE.04.03.06.01;Seguros e protecoes operacionais;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.04.03.07;Outros custos dos serviços prestados;Custos;4;Sintetica;;;
DRE.04.03.07.01;Outros custos dos serviços prestados;Custos;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.05;Lucro bruto;Lucro Bruto;2;Subtotal;;;
DRE.06;Despesas comerciais;Despesas Comerciais;2;Sintetica;;;
DRE.06.01;Pessoal comercial;Despesas Comerciais;3;Sintetica;;;
DRE.06.01.01;Remuneracao comercial;Despesas Comerciais;4;Sintetica;;;
DRE.06.01.01.01;Salarios comerciais;Despesas Comerciais;5;Analitica;DFC.OP.EMPREGADOS;Valores pagos a empregados;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.01.01.02;Ferias e decimo terceiro comerciais;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.01.02;Encargos e beneficios comerciais;Despesas Comerciais;4;Sintetica;;;
DRE.06.01.02.01;Encargos comerciais;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.01.02.02;Beneficios comerciais;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.01.03;Comissoes e premios comerciais;Despesas Comerciais;4;Sintetica;;;
DRE.06.01.03.01;Comissoes e premios;Despesas Comerciais;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.02;Marketing e vendas;Despesas Comerciais;3;Sintetica;;;
DRE.06.02.01;Midia, trafego e agencias;Despesas Comerciais;4;Sintetica;;;
DRE.06.02.01.01;Publicidade e propaganda;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.02.01.02;Trafego pago e midia digital;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.02.01.03;Agencias e producao de conteudo;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.02.02;Eventos, feiras e materiais promocionais;Despesas Comerciais;4;Sintetica;;;
DRE.06.02.02.01;Eventos, feiras e patrocinio;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.02.02.02;Brindes, amostras e material promocional;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.03;Logistica de venda;Despesas Comerciais;3;Sintetica;;;
DRE.06.03.01;Fretes e transporte de venda;Despesas Comerciais;4;Sintetica;;;
DRE.06.03.01.01;Fretes e entregas a clientes;Despesas Comerciais;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.03.01.02;Pedagios e transporte comercial;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.03.02;Embalagens de venda;Despesas Comerciais;4;Sintetica;;;
DRE.06.03.02.01;Embalagens de venda;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.03.03;Estrutura logistica comercial;Despesas Comerciais;4;Sintetica;;;
DRE.06.03.03.01;Manutencao de veiculos comerciais;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.03.03.02;Armazenagem comercial;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.04;Canais e adquirencia;Despesas Comerciais;3;Sintetica;;;
DRE.06.04.01;Taxas de canais e adquirencia;Despesas Comerciais;4;Sintetica;;;
DRE.06.04.01.01;Taxas de cartao e adquirentes;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.04.01.02;Taxas de marketplace;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.04.02;Plataformas comerciais;Despesas Comerciais;4;Sintetica;;;
DRE.06.04.02.01;Plataformas comerciais;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.04.03;Descontos comerciais;Despesas Comerciais;4;Sintetica;;;
DRE.06.04.03.01;Descontos comerciais concedidos;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.06.04.04;Outras despesas de canais;Despesas Comerciais;4;Sintetica;;;
DRE.06.04.04.01;Outras despesas comerciais;Despesas Comerciais;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07;Despesas administrativas;Despesas Administrativas;2;Sintetica;;;
DRE.07.01;Pessoal administrativo;Despesas Administrativas;3;Sintetica;;;
DRE.07.01.01;Remuneracao administrativa;Despesas Administrativas;4;Sintetica;;;
DRE.07.01.01.01;Salarios administrativos;Despesas Administrativas;5;Analitica;DFC.OP.EMPREGADOS;Valores pagos a empregados;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.01.02;Ferias e decimo terceiro administrativos;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.01.03;Gratificacoes e premios administrativos;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.02;Encargos administrativos;Despesas Administrativas;4;Sintetica;;;
DRE.07.01.02.01;Encargos administrativos;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.02.02;INSS administrativo;Despesas Administrativas;5;Analitica;DFC.OP.EMPREGADOS;Valores pagos a empregados;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.02.03;FGTS administrativo;Despesas Administrativas;5;Analitica;DFC.OP.EMPREGADOS;Valores pagos a empregados;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.03;Beneficios administrativos;Despesas Administrativas;4;Sintetica;;;
DRE.07.01.03.01;Beneficios administrativos;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.03.02;Vale transporte administrativo;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.03.03;Vale refeicao e alimentacao administrativo;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.03.04;Assistencia medica administrativa;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.03.05;Convenios e beneficios administrativos;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.03.06;Seguro de vida e beneficios segurados;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.04;Recrutamento e medicina ocupacional;Despesas Administrativas;4;Sintetica;;;
DRE.07.01.04.01;Recrutamento e treinamento;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.04.02;Exames admissionais e demissionais;Despesas Administrativas;5;Analitica;DFC.OP.TRIBUTOS;Tributos pagos;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.01.05;Acordos e contingencias trabalhistas;Despesas Administrativas;4;Sintetica;;;
DRE.07.01.05.01;Acordos trabalhistas e judiciais;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02;Ocupacao e infraestrutura;Despesas Administrativas;3;Sintetica;;;
DRE.07.02.01;Locacao e ocupacao;Despesas Administrativas;4;Sintetica;;;
DRE.07.02.01.01;Aluguel predial;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02.01.02;Condominio;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02.01.03;Aluguel de equipamentos;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02.02;Utilidades e comunicacao;Despesas Administrativas;4;Sintetica;;;
DRE.07.02.02.01;Energia eletrica;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02.02.02;Agua e saneamento;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02.02.03;Telefone e internet;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02.03;Manutencao, limpeza e seguranca;Despesas Administrativas;4;Sintetica;;;
DRE.07.02.03.01;Limpeza, conservacao e manutencao;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02.03.02;Seguranca e monitoramento;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.02.03.03;Manutencao predial e reparos gerais;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.07.03;Tecnologia e sistemas;Despesas Administrativas;3;Sintetica;;;
DRE.07.03.01;Softwares e assinaturas digitais;Despesas Administrativas;4;Sintetica;;;
DRE.07.03.01.01;Softwares e licencas;Despesas Administrativas;5;Analitica;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;"preenchido automaticamente; edite destino_dfc se quiser mudar"
